Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-04 09:15:00+05:30,1262.800048828125,1264.699951171875,1261.75,1264.0,0,0.0,0.0
2025-02-04 09:16:00+05:30,1263.5,1267.75,1263.5,1266.75,80031,0.0,0.0
2025-02-04 09:17:00+05:30,1266.5,1267.699951171875,1265.550048828125,1266.8499755859375,71384,0.0,0.0
2025-02-04 09:18:00+05:30,1266.9000244140625,1267.75,1265.699951171875,1267.6500244140625,90112,0.0,0.0
2025-02-04 09:19:00+05:30,1267.1500244140625,1267.699951171875,1264.3499755859375,1264.75,50712,0.0,0.0
2025-02-04 09:20:00+05:30,1264.800048828125,1265.9000244140625,1264.75,1265.199951171875,51216,0.0,0.0
2025-02-04 09:21:00+05:30,1265.199951171875,1265.199951171875,1263.8499755859375,1264.300048828125,33764,0.0,0.0
2025-02-04 09:22:00+05:30,1264.5999755859375,1266.4000244140625,1264.449951171875,1266.4000244140625,28323,0.0,0.0
2025-02-04 09:23:00+05:30,1266.0,1266.5999755859375,1264.0,1264.5999755859375,49097,0.0,0.0
2025-02-04 09:24:00+05:30,1264.050048828125,1265.1500244140625,1263.550048828125,1263.75,37423,0.0,0.0
2025-02-04 09:25:00+05:30,1263.5999755859375,1264.550048828125,1263.25,1263.699951171875,44840,0.0,0.0
2025-02-04 09:26:00+05:30,1263.699951171875,1264.199951171875,1261.6500244140625,1262.0999755859375,38191,0.0,0.0
2025-02-04 09:27:00+05:30,1261.949951171875,1263.9000244140625,1261.8499755859375,1263.6500244140625,52346,0.0,0.0
2025-02-04 09:28:00+05:30,1263.300048828125,1264.3499755859375,1263.050048828125,1263.449951171875,34351,0.0,0.0
2025-02-04 09:29:00+05:30,1263.4000244140625,1263.5,1263.0,1263.5,18776,0.0,0.0
2025-02-04 09:30:00+05:30,1263.5,1264.550048828125,1263.5,1264.050048828125,44286,0.0,0.0
2025-02-04 09:31:00+05:30,1264.050048828125,1264.75,1262.8499755859375,1264.5999755859375,64400,0.0,0.0
2025-02-04 09:32:00+05:30,1264.6500244140625,1267.0999755859375,1264.5,1265.6500244140625,63403,0.0,0.0
2025-02-04 09:33:00+05:30,1265.6500244140625,1267.5,1265.5999755859375,1267.300048828125,14400,0.0,0.0
2025-02-04 09:34:00+05:30,1267.800048828125,1268.5,1267.800048828125,1268.300048828125,41140,0.0,0.0
2025-02-04 09:35:00+05:30,1269.0,1271.0,1268.800048828125,1271.0,124725,0.0,0.0
2025-02-04 09:36:00+05:30,1271.0,1273.0,1270.75,1272.949951171875,65556,0.0,0.0
2025-02-04 09:37:00+05:30,1272.949951171875,1273.800048828125,1271.1500244140625,1271.8499755859375,78770,0.0,0.0
2025-02-04 09:38:00+05:30,1272.050048828125,1274.0,1271.6500244140625,1274.0,89704,0.0,0.0
2025-02-04 09:39:00+05:30,1273.800048828125,1274.1500244140625,1272.75,1273.75,51778,0.0,0.0
2025-02-04 09:40:00+05:30,1273.699951171875,1276.199951171875,1273.5,1276.199951171875,116051,0.0,0.0
2025-02-04 09:41:00+05:30,1275.3499755859375,1277.5,1275.3499755859375,1276.949951171875,130965,0.0,0.0
2025-02-04 09:42:00+05:30,1277.1500244140625,1277.5999755859375,1276.5,1277.25,95278,0.0,0.0
2025-02-04 09:43:00+05:30,1277.0999755859375,1278.5,1277.0999755859375,1277.300048828125,110888,0.0,0.0
2025-02-04 09:44:00+05:30,1277.449951171875,1278.5999755859375,1276.1500244140625,1278.4000244140625,94287,0.0,0.0
2025-02-04 09:45:00+05:30,1278.5,1280.25,1278.5,1278.75,131489,0.0,0.0
